gauge,site,SWWRPANAME,in_ewr,lon,lat
421147,MACQ@PILLICAWARRINA,Macquarie-Castlereagh,FALSE,147.5148937007601,-30.807213023533606
421127,MACQUARIE @ BAROONA,Macquarie-Castlereagh,FALSE,148.37569396889293,-32.2114129443155
421025,MACQUARIE @ BRUINBUN,Macquarie-Castlereagh,FALSE,149.429994224038,-33.13721284901946
421012,MACQUARIE @ CARINDA,Macquarie-Castlereagh,TRUE,147.5695936686612,-30.43471302196293
421001,MACQUARIE @ DUBBO,Macquarie-Castlereagh,TRUE,148.60229400668842,-32.27121292520006
421031,MACQUARIE @ GIN GIN,Macquarie-Castlereagh,FALSE,148.0909938961587,-31.908212969670736
421181,MACQUARIE @ MACS RSV,Macquarie-Castlereagh,FALSE,148.24660144942968,-32.19525837498459
421135,MACQUARIE @ MILTARA,Macquarie-Castlereagh,FALSE,147.59699368534308,-30.56021301888436
421900,MACQUARIE @ WOLLOMBI,Macquarie-Castlereagh,FALSE,148.69939403549708,-32.40561291616893
421022,MACQUARIE @OXLEY STN,Macquarie-Castlereagh,TRUE,147.56929374069585,-31.117513016999713
421182,MACQUARIE @WOODLANDS,Macquarie-Castlereagh,FALSE,148.30761766251865,-32.23729078970453
421116,MACQUARIE@GIBSON WAY,Macquarie-Castlereagh,FALSE,147.50709370904383,-30.89541302350246
421014,MACQUARIE@WARREN TWN,Macquarie-Castlereagh,FALSE,147.838693838918,-31.69711299145672
421003,MACQUARIE@WELLINGTON,Macquarie-Castlereagh,FALSE,148.94349408490058,-32.54111289474302
421191,MACQUARIE@YARRACOONA,Macquarie-Castlereagh,FALSE,149.49028633500342,-33.157495323666744
421088,MAREBONE BRK@D/S REG,Macquarie-Castlereagh,FALSE,147.69319378506253,-31.379413005318558
421107,MARRA @BILLYBINGBONE,Macquarie-Castlereagh,FALSE,147.1710400145251,-30.403252603229365
421097,MARRA CK @CARINDA RD,Macquarie-Castlereagh,FALSE,147.65849377943977,-31.36991300813376
421011,MARTHAGUY @ CARINDA,Macquarie-Castlereagh,TRUE,147.68519368582693,-30.457713012671206
421178,MOLONG @D/S BORENORE,Macquarie-Castlereagh,FALSE,148.9597441601564,-33.157568449008494
421159,MOLONG CK@COPPER HLL,Macquarie-Castlereagh,FALSE,148.8665941322958,-33.03371289772499
421109,MONKEY CK @ BREAK,Macquarie-Castlereagh,FALSE,147.5598853357731,-31.082804467992084
421195,MONKEY CREEK DS OXLY,Macquarie-Castlereagh,FALSE,147.55988723577227,-31.082794817991992
421132,MONKEYGAR @DS GIBSON,Macquarie-Castlereagh,FALSE,147.51879370611402,-30.853213022891982
421129,MONKEYGAR@US WESTARM,Macquarie-Castlereagh,FALSE,147.5096937217305,-31.012313022447646
421907,Macquarie at Brewon,Macquarie-Castlereagh,FALSE,147.54145864315834,-30.224818025719628
421108,NORTHERN BYPASS CH,Macquarie-Castlereagh,FALSE,147.5516936999192,-30.7540130210315
421189,OBERON DAM,Macquarie-Castlereagh,FALSE,149.86464075873297,-33.725020647007476
421196,OUTFLOW DS SUMA PARK,Macquarie-Castlereagh,FALSE,149.14426779979894,-33.270224572574016
421144,OXLEY#3BREAK@OFFTAKE,Macquarie-Castlereagh,FALSE,147.6044073495053,-31.156924183947453
421186,PLOUGHMANS DS MOLONG,Macquarie-Castlereagh,FALSE,149.0762885885243,-33.25665509844809
421087,PLUM P/ING @MIRAMBEE,Macquarie-Castlereagh,FALSE,148.68449402683626,-32.34841291781813
421092,Q CHARLOTTES@ORTON P,Macquarie-Castlereagh,FALSE,149.57609428376742,-33.45521283413274
421197,SHC @ 3RD XING BRDG,Macquarie-Castlereagh,FALSE,149.13776419185302,-33.21195687353732
421177,SNAKE GULLY@ATTUNGA,Macquarie-Castlereagh,FALSE,149.02249405775015,-32.21741289038283
421068,SPICERS @ SAXA XING,Macquarie-Castlereagh,FALSE,149.01169405473655,-32.20421289139111
421185,SUMMER HILL @ ICELY,Macquarie-Castlereagh,FALSE,149.15273030497616,-33.30316009162199
421183,SUMMERHILL @3rd XING,Macquarie-Castlereagh,FALSE,149.1373835923629,-33.21663700353678
421042,TALBRAGAR @ 2(ELONG),Macquarie-Castlereagh,FALSE,149.06099404834373,-32.09241288801921
421904,TALBRAGAR @ DUNEDOO,Macquarie-Castlereagh,FALSE,149.38000698104864,-32.004719311403726
422022,TARRION CK @ BREWRNA,Macquarie-Castlereagh,FALSE,146.86806293945878,-30.041888079043385
421153,TERRIGAL@U/S MARTHAG,Macquarie-Castlereagh,FALSE,147.7132937283355,-30.824813007755907
421026,TURON @ SOFALA,Macquarie-Castlereagh,FALSE,149.69019425361606,-33.0803128268345
421148,WINDAMERE DAM,Macquarie-Castlereagh,FALSE,149.76749422080806,-32.725912822587766
